Driver,LapTime,Compound,TyreLife,LapNumber
ALO,0 days 00:01:37.010000,HARD,18.0,52.0
ALO,0 days 00:01:37.010000,HARD,19.0,53.0
ALO,0 days 00:01:37.599000,HARD,20.0,54.0
ALO,0 days 00:01:37.662000,HARD,21.0,55.0
ALO,0 days 00:01:37.473000,HARD,22.0,56.0
ALO,0 days 00:01:37.422000,HARD,23.0,57.0
LEC,0 days 00:01:40.230000,SOFT,1.0,1.0
LEC,0 days 00:01:38.750000,SOFT,2.0,2.0
LEC,0 days 00:01:38.658000,SOFT,3.0,3.0
LEC,0 days 00:01:38.825000,SOFT,4.0,4.0
LEC,0 days 00:01:38.664000,SOFT,5.0,5.0
LEC,0 days 00:01:38.572000,SOFT,6.0,6.0
LEC,0 days 00:01:38.691000,SOFT,7.0,7.0
LEC,0 days 00:01:38.614000,SOFT,8.0,8.0
LEC,0 days 00:01:38.828000,SOFT,9.0,9.0
LEC,0 days 00:01:39.073000,SOFT,10.0,10.0
LEC,0 days 00:01:39.212000,SOFT,11.0,11.0
LEC,0 days 00:01:39.489000,SOFT,12.0,12.0
LEC,0 days 00:01:42.068000,SOFT,13.0,13.0
LEC,0 days 00:01:58.770000,HARD,1.0,14.0
LEC,0 days 00:01:38.477000,HARD,2.0,15.0
LEC,0 days 00:01:37.953000,HARD,3.0,16.0
LEC,0 days 00:01:38.031000,HARD,4.0,17.0
LEC,0 days 00:01:37.798000,HARD,5.0,18.0
LEC,0 days 00:01:37.858000,HARD,6.0,19.0
LEC,0 days 00:01:37.631000,HARD,7.0,20.0
LEC,0 days 00:01:37.753000,HARD,8.0,21.0
LEC,0 days 00:01:38.162000,HARD,9.0,22.0
LEC,0 days 00:01:38.054000,HARD,10.0,23.0
LEC,0 days 00:01:37.972000,HARD,11.0,24.0
LEC,0 days 00:01:38.541000,HARD,12.0,25.0
LEC,0 days 00:01:39.668000,HARD,13.0,26.0
LEC,0 days 00:01:38.814000,HARD,14.0,27.0
LEC,0 days 00:01:38.618000,HARD,15.0,28.0
LEC,0 days 00:01:38.447000,HARD,16.0,29.0
